Title,Description,Location,ID,Price,Bed,Date
4 bhk new  independent house near East hill,4bhk new  independent house near East hill,"India,Kerala,Kozhikode,East Hill",1763882592,"₹ 28,000",4 Bds - 4 Ba - 2850 ft2,2024-04-09T00:11:07+0000
3 bhk Flat for RENT in near East Hill,"3 bedroom Flat for RENT in near East Hill.1st Floor.Available only to families.Rent Rs 20000 per month & deposit 4 months rent.Genuine clients can contact 9,4,4,7,DOUBLE1,4,4,7,1 for details and site visit.SERVICE CHARGES AS APPLICABLE.","India,Kerala,Kozhikode,East Hill",1766276990,"₹ 20,000",3 Bds - 3 Ba - 1450 ft2,2024-04-08T22:31:04+0000
Launching SpringLeaf @The Heart of Calicut near Meitra Hospital,"Hot Deal! Starting from March 2024 at the heart of Kozhikode!Ground Floor: 2 Bedrooms with 2 attached bathrooms, Dining cum Living Room, 1 Washing Area, Kitchen and Balcony2nd Floor - Open areaIndependent entrance and Car parking separate.Nearby attractions:walkable distance to Meitra Hspt, nearby Schools, Kendriya Vidyalaya, Cinemas, malls, Petrol Stn., 40mins to Calicut AirportContact by email: email2rinith@ gmail dot comor ९०९१९२९३३९","India,Kerala,Kozhikode,Karaparamba",1723536246,"₹ 16,500",2 Bds - 2 Ba - 1100 ft2,2024-04-08T21:01:07+0000
"3 BHK FURNISHED FLAT FOR RENT OPPOSITE SAROVARAM BIO PARK, CALICUT",Aminites :-Swaming poolGymChildrens play areaParty hallOpan areaGuest parkingGrand lobby,"India,Kerala,Kozhikode,Eranjipalam",1765841028,"₹ 34,000",3 Bds - 3 Ba - 1850 ft2,2024-04-08T16:31:10+0000
KOZHIKODE BILATHI KULAM 3 BEDROOM BACHELOR'S HOUSE FOR RENT- Upstairs,"Kozhikode bilathikulam 3 bedroom 1300sq.ft house for rent.Rent-16,000. Advance -6 months rent.Service charge applicableKAIRALI PROPERTIES KOZHIKODECall-944.   763.    8514.Pic may not be original","India,Kerala,Kozhikode,Bilathikulam",1767077739,"₹ 16,000",3 Bds - 3 Ba - 1300 ft2,2024-04-08T16:26:56+0000
2 BHK FURNISHED FLAT FOR RENT NEAR CALICUT BEACH,2 bhk Furnished flat available for rent calicut beach viewAminites :-Swaming poolGymGames roomParty areaChildrens play areaOpan areaGuest parking,"India,Kerala,Kozhikode,Calicut Beach",1765839869,"₹ 27,000",2 Bds - 2 Ba - 1100 ft2,2024-04-08T16:16:13+0000
KOZHIKODE  EASTHILL 1000sq.ft HOUSE FOR RENT,"Kozhikode Easthill 1000sq.ft  house for rent. Ground floor Rent-13,000.advance-6 months rent.Service charge applicableKAIRALI PROPERTIES KOZHIKODECall-944.   763.   8514.Pic may not be original","India,Kerala,Kozhikode,East Hill",1754790229,"₹ 13,000",2 Bds - 2 Ba - 1000 ft2,2024-04-08T16:14:01+0000
"3 BHK FURNISHED FLAT FOR NEAR HILITE MALL AND CYBER PARK,CALICUT","3 bhk Furnished flat for rent near hilite mall and cyber park, calicutAminites :-Swaming pollGymChildrens play areaGardenOpen areaParty hallGuest roomFootball TurfSuadle courtVisitors car parkingSupermarketCafeSaloonBeauty parlor","India,Kerala,Kozhikode,Thondayad",1765839447,"₹ 40,000",3 Bds - 3 Ba - 1820 ft2,2024-04-08T16:01:14+0000
KOZHIKODE EAST HILL 1000sq.ft 2 BEDROOM APARTMENT FOR RENT,"Kozhikode Easthill 1000sq.ft 2 bedroom apartment for rent.Rent- 10,000. Advance -6 months rent.Service charge applicable.KAIRALI PROPERTIES KOZHIKODECall-944.   763.   8514.Pic may not be original","India,Kerala,Kozhikode,East Hill",1758268758,"₹ 10,000",2 Bds - 2 Ba - 1000 ft2,2024-04-08T15:59:57+0000
Single house,Single house,"India,Kerala,Kozhikode,Ashokapuram",1767074427,"₹ 18,000",4 Bds - 2 Ba - 850 ft2,2024-04-08T15:42:18+0000
2 BHK PG HOUSE FOR FEMALE MEDICAL STUDENTS @ 7500/PERSON,"EXCLUSIVE PG ACCOMMODATION FOR FEMALE MEDICAL STUDENTS & WORKING WOMEN Our newly constructed, fully furnished, 1200 sq ft spacious 2 BHK residence boasts 2 attached bathrooms, a combined living and dining space, and a kitchen. Conveniently situated opposite Calicuts most sought after residential space -  Vrindavan Colony, Chevayur. The place comfortably houses up to 4 guests in 2 bedrooms ( 2 guests in each bedroom) Offering:- 2 BHK with 2 attached bathrooms- Spacious 1200 sq ft area- Amenities: TV, Washing machine, Fridge, Gas stove. - Furnishings: Bed with cot, Wardrobes, Dining table, Living sofa, Study table & Chairs- Parking space availableConveniently located:- 3 kms / 7 mins to Calicut Medical College- 6 kms / 15 mins to Baby Memorial Hospital junction- 6 kms / 15 mins to Hilite Mall - 8 kms / 20 mins to Calicut railway station- 250 metres / 3 min walk to the nearest super market & 1.2 kms / 5 mins to Reliance super market","India,Kerala,Kozhikode,Vrindavan Colony",1765136574,"₹ 30,000",2 Bds - 2 Ba - 1500 ft2,2024-03-20T13:09:28+0000
2bhk fully furnished flat for rent at Calicut,2bhk fully furnished flat for rent at Calicut,"India,Kerala,Kozhikode,Thondayad",1595160286,"₹ 30,000",2 Bds - 2 Ba - 1000 ft2,2024-03-29T05:12:11+0000
12.5 cent Land with building for Sale in Kozhikode Corp.,"Four units of 3 BHK residential apartments  in one building  consisting of 12.5 cent land for sale in Kozhikode corporation area approx  6 km from Kozhikode city. Each apartment has 3 Bed rooms, 2 Toilets, Hall, Sit out, Kitchen and Work area and two entrance in the front side  (Two flats in each floor of a 2 storied building).  Plinth area of  4 unit is 3602 sq ft  and 361 sq ft of  stair case (Total plinth area=3963 sq ft).  There is enough space for parking and kids playing.   The building has approx. 25 meter approach road from main road (Beypore –Kozhikode main road which is going to upgrade as Beypore port to Kozhikode NH). Since the property is in  the heart of the town and Kozhikode city is just 6 km (10 minute drive) away from Arakinar town,  the building  has high  potential to have a regular monthly income for those who are seeking an investment plan. The property can be utilized to run various business portfolios such as  training /education / tuition centre or as boys hostel or girls hostel or as working women’s hostel or  as residential apartments after suitable modification and renovation. WELL water and corporation water is available in the property. The asking price is 14 Lakhs/cent – (Negotiable)Serious buyers are kindly requested to respond to this Ad at the earliest.","India,Kerala,Kozhikode,Chevayur",1765398978,"₹ 1,70,00,000",3 Bds - 2 Ba - 3963 ft2,2024-03-23T05:37:18+0000
"Spacious 1 bhk in Meenchanda, Kozhikode city Mosquito  protected","Newly constructed Flat within Kozhikode city. Consist of 2 spacious room, 1 bathroom , 1 kitchen and a Living area. Have both borewell and Corporation water connection. 4 Km to Railway Station. Have all amenities within 3 km. Building has small Supermarket in the ground floor. Prefer working professionals.","India,Kerala,Kozhikode,Meenchanda",1734703741,"₹ 8,500",1 Bds - 1 Ba - 500 ft2,2024-04-08T14:48:51+0000
ഇരിങ്ങാടൻ പള്ളി 4ബെഡ്‌റൂം വീട് വാടകക്ക് rent,ഇരിങ്ങാടൻ പള്ളി 4ബെഡ്‌റൂം വീട് വാടകക്ക്Rent 25000Adwance 1lakh,"India,Kerala,Kozhikode,Araidathpalam",1763355516,"₹ 25,000",4 Bds - 4 Ba - 2200 ft2,2024-04-08T13:31:30+0000
Paroppadi 3bhk house for rent,പറോപ്പടിയിൽ 3ബെഡ്‌റൂം കോമേഴ്‌ഷ്യൽ വീട് വാടകക്ക്Rent 15000Adwance 50000,"India,Kerala,Kozhikode,Paropadi",1754013325,"₹ 15,000",3 Bds - 3 Ba - 1700 ft2,2024-04-08T13:31:30+0000
100 meters from Chakkorathukulam Nadakavu,"Spacious 4 bedroom New House with all amenities. Just 100 meters from Kannur highway.  Ground floor 2 bedrooms & upstairs 2 bedrooms. All bedrooms with attached bathrooms. Ample car parking space. Semi furnished. Very near to Canara Bank, Federal bank, Salkara restaurant, HDFC bank","India,Kerala,Kozhikode,Nadakkavu",1766346133,"₹ 40,000",4 Bds - 4 Ba - 2800 ft2,2024-04-08T12:16:33+0000
"2 BHK, semi furnished at Paropady","Upstair semi furnished 2 bedroom house with attached bathroom, sitout, living room, dinning room, kitchen, workarea, open area for washing etc, crystal clear well water, 1 car parking, calm placeSilverhills school nearby 1 kmIqra hospital near by 2 kmCivil station 3 kmNirmala hospital 3 kmStar care 2 kmVedayasa school 2 km","India,Kerala,Kozhikode,Paropadi",1767051260,"₹ 15,000",2 Bds - 2 Ba - 1400 ft2,2024-04-08T11:19:18+0000
2bhk  furnished Apartment for rent at puthiyara,"2bhk semi furnished apartment for Rent at puthiyara ◾1500 sqft◾2bhk attached◾ kitchen cabinet◾ wardrobes◾ cott◾AcVery close to baby memorial, mims hospital etc Rent- 30000/-More detailsEndless properties2nd floor kairali complexThondayad. Calicut","India,Kerala,Kozhikode,Puthiyara",1752360293,"₹ 30,000",2 Bds - 2 Ba - 1500 ft2,2024-04-08T11:01:18+0000
House 2021,"Semi furnished, wel water with filter plants 1 km  hilite mall & 2 km Lulu mall.","India,Kerala,Kozhikode,Nellicode",1767047251,"₹ 18,000",2 Bds - 2 Ba - 1000 ft2,2024-04-08T10:39:39+0000
2 bhk First Floor of a Apartment in Vellayil near Nadakkavu,"2 bedroom First floor of an apartment for rent in Vellayil near Nadakkavu.Available to small families & executive bachelors.Rent Rs 13000 per month & deposit Rs 50000.Contact 9,4,4,7,DOUBLE1,4,4,7,1 for details and site visit.SERVICE CHARGES AS APPLICABLE.","India,Kerala,Kozhikode,Vellayil",1765430286,"₹ 13,000",2 Bds - 2 Ba - 825 ft2,2024-04-08T09:46:08+0000
3000 sq ft Commercial House for Rent at meenchanda,"3000 sq ft Commercial House for Rent at meenchanda◾6 bhk attached◾3000 sqft◾Coverd parking◾Well waterSuitable for Hostel, Godowns, offices, clinic etcRent - 55000Advance- 3 lakhMore detailsEndless properties2nd floor, kairali complexThondayad, calicut","India,Kerala,Kozhikode,Meenchantha",1764888528,"₹ 55,000",4+ Bds - 4+ Ba - 3000 ft2,2024-04-08T09:16:17+0000
Flat for rent. Eranjipalam,One BHK FLAT FOR RENT NEAR ERANJIPALAM.,"India,Kerala,Kozhikode,Eranjipalam",1767031986,"₹ 19,000",1 Bds - 1 Ba - 719 ft2,2024-04-08T08:16:12+0000
"2 BHK FURNISHED FLAT FOR RENT NEAR CYBER PARK,CALICUT",2 bhk FurnishedAminites :-Swaming poolGymClub houseAssociation hallConference roomTution centerCimima theatreAster MIMS medical clinicSupermarketBeatty parlorLandryTailor schoolLedies botiqueCafeSaloonMaintaince serviceDeep cleaning serviceChildren play areaGardenFood boll tuffOpan areaOpan stageGuest roomGuest parkingATMGrand lobbyDay careGames roomRent 26000+ mncAdvance 3 month rent,"India,Kerala,Kozhikode,Thondayad",1762990925,"₹ 29,000",2 Bds - 2 Ba - 1350 ft2,2024-04-08T08:01:22+0000
"3 BHK UNFURNISHED FLAR FOR RENT NEAR LULU MALL, CALICUT","3 bhk unfurnished flat for rent near lulu mall, calicut","India,Kerala,Kozhikode,Mankavu",1762872507,"₹ 23,000",3 Bds - 3 Ba - 1590 ft2,2024-04-08T08:01:22+0000
"2 BHK FURNISHED FLAT FOR RENT NEAR CHEVAYOOR, CALICUT","2 bhk Furnished flat for rent near chevayoor, calicutNear by :-Medical collegeDevagri college and schoolPresentation schoolBavans schoolStarcare hospitalCyber parkUl parkHilite mallBusiness park","India,Kerala,Kozhikode,Chevayoor",1762872025,"₹ 25,000",2 Bds - 2 Ba - 1280 ft2,2024-04-08T08:01:22+0000
3 BHK FURNISHED  FLAT FOR RENT CALICUT,"3 BHK FURNISHED FLAT FOR RENT NEAR NADAKAVE,CALICUTAmenities:-GymSwimming poolGrand lobbyConference roomDay careOpen areaYoga centreAssociation hallHome cinema theatreChildrens play areaSaddle courtLarge space for visitors car parking Guest roomRent 30000+MNC","India,Kerala,Kozhikode,Nadakkavu",1755818011,"₹ 32,000",3 Bds - 3 Ba - 1780 ft2,2024-04-08T08:01:22+0000
3 BHK FURNISHED FLAT FOR RENT NEAR CALICUT MEDICAL COLLEGE,3 bhk Furnished near calicut medical collegeAminites :-Swaming poolGymChildrens play areaAssociation hallGuest roomConference roomOpan areaGuest parkingGames area,"India,Kerala,Kozhikode,Thondayad",1762991431,"₹ 30,000",3 Bds - 3 Ba - 1750 ft2,2024-04-08T08:01:21+0000
"2 BHK furnished brand new flat for rent near karapparamb, calicut",2 bhk Furnished brand new flat for rent near karapparambAminites :-GymSwaming poolConference roomParty hallGuest roomGuest parking24 hrs security and power backupWaste management,"India,Kerala,Kozhikode,Karaparamba",1762675354,"₹ 30,000",2 Bds - 2 Ba - 1410 ft2,2024-04-08T08:01:21+0000
"3 BHK FURNISHED FLAT FOR RENT NEAR POTTAMAL ,CALICUT",3 bhk Furnished flat for rent near kottoli and pottamal calicutNear by:-Baby memorial hospitalIqrha hospitalCivil stationMalabar hospitalCyber parkCalicut bypassRent 25000+mncAdvance 1Lakh,"India,Kerala,Kozhikode,Pottammal",1762138478,"₹ 27,000",3 Bds - 3 Ba - 1650 ft2,2024-04-08T08:01:21+0000
Ground floor owner,1 st floor place extra,"India,Kerala,Kozhikode,Eranjipalam",1766234792,"₹ 9,500",2 Bds - 1 Ba - 1100 ft2,2024-03-31T11:08:05+0000
House for rent @ kovoor,"Well maintained, tiled house ,4bedroom,2 bathroom, dining room and kitchen, corporation water, 500metre from kovoor bus stop, calm surroundings…rebt 15000…deposit 25000…brokers plz excuse","India,Kerala,Kozhikode,Kovoor",1766230920,"₹ 15,000",4 Bds - 2 Ba - 980 ft2,2024-03-31T10:30:32+0000
Furnished / Semi furnished 2/3 Bedroom flats.,1 bhk Malaparambu Furnished flat 15000 k adv 3 months 3 bhk Civil Furnished flat 23000 k adv 3 months.3 bhk at Eranipalam semi furnished flat 20000 k adv 3 months.3 bhk at Mananjira semi furnished flat 26000 k adv 3 months2 bhk at Karaparambu semi furnished flat 20000 k adv 3 months.2 bhk at Kunnathpalam Furnished flat at 30000 k adv 3 months.3 bhk at Karaparambu semi furnished flat 28500 k adv 3 months.3 bhk at Kallayi semi furnished flat 30000 k adv 3 months.3 bhk at Civil semi furnished flat 20000 k adv 3 months.3 bhk at Beach bhat semi furnished flat 34000 k adv 4 months2 bhk at Residency Hl Furnished flat 35000 k adv 4 months.3 bhk at Exotica semi furnished flat 30000 k adv 3 months.2 bhk at Methotutazam semi furnished  flat 18000 k adv 3 months.3 bhk at Tc1 Furnished flat 35000 k adv 3 months.3 bhk at Potammal Furnished flat 33000 k adv 3 months.2 bhk at Metromax Furnished flat at 27000 k adv 4 months1 bhk at Tripenta Furnished flat 20000 k adv 3 months.3 bhk at Kotooly semi furnished flat 23000 k adv 3 months.3 bhk at Meenchanda Furnished flat 35000 k adv 4 months2 bhk at Civil semi Furnished flat at 17500 k adv 3 months.2 bhk at Kotooly Furnished flat 30000 k adv 3 months.3 bhk at Comtrust  semi furnished flat 25000 k adv 3 months.3 bhk at Perumanna Furnished flat 25000 k adv 8 months.2 bhk at Puthiyengadi semi furnished flat 22000 k adv 3 months.2 bhk Potammal Furnished flat 28000 k adv 4 months.3 bhk at Ymca semi furnished flat 26500 k adv 3 months.2 bhk at Civil station semi furnished flat 16000 k adv 3 months.2 bhk at Cheverambalam Furnished flat 30000 k adv 4 months.3 bhk at Bmh semi furnished flat 25000 k adv 3 months.2 bhk at Parayanjeri semi furnished flat 18000 k adv 3 months.2 bhk at Westhill Furnished flat at 20000 k adv 3 months.3 bhk at Westhill semi furnished flat at 23000 k adv 3 months.3 bhk at Sarovaram Furnished flat 35000 k adv 4 months.3 bhk at Tali semi furnished flat 30000 k adv 3 months.3 bhk at Mims Furnished flat 35000 k adv 4 months.2 bhk at Kunduparambu Furnished flat at 23000 k adv 4 months.2 bhk at Mims furnished flat 25000 k adv 3 months.3 bhk flat Mananjira Furnished flat at  35000 k adv 3 months.3 bhk at Arayadatupalam semi Furnished flat 23000 k adv 3 months.2 bhk at Westhill semi furnished flat at   14000 k adv 3 months.2 bhk at Methotutazam Furnished flat at 20000 k adv 4 months.2 bhk at Govindpuram Furnished flat at 24000 k adv 3 months.1 bhk at Manorama Furnished flat at 25000 k adv 3 months.2 bhk at Eranipalam semi furnished  flat at 20000 k adv 3 months.3 bhk at Paniker rd semi furnished flat at 24000 k adv 3 months.3 bhk at Chakorthukulam Furnished flat at 28000 k adv 3 months.3 bhk at Mankavu semi furnished flat at 19000 k adv 3 months.1 bhk at Abacus Furnished flat at 20000 k adv 3 months.3 bhk at Kotooly semi furnished flat at 32000 k adv 3 months.3 bhk at Kotooly semi furnished flat at 20500 k adv 3 months.2 bhk at Methotutazam Furnished flat at 25000 k adv 3 months.2 bhk at Malaparambu semi furnished flat at 18000 k adv 3 months.2 bhk at Tripenta semi furnished flat 25000 k adv 3 months.3 bhk at Chulliode rd Furnished flat at 32000 k adv 4 months.2 bhk Furnished flat at Karaparambu 30000 k adv 3 months.2 Bhk flat Furnished at Perumanna  20000 k adv 3 months.2 Bhk flat Furnished at Malaparambu at 24000 k adv 4 months.2 Bhk flat Perumanna semi furnished at 17000 k adv 3 months.4 bhk Furnished flat at Malaparambu at 35000 k adv 4 months.Service charge as per industry standards.we are real estate consultants.,"India,Kerala,Kozhikode,Nadakkavu",1569963250,"₹ 17,000",3 Bds - 3 Ba - 1550 ft2,2024-03-31T09:19:48+0000
Roadside house for rent,Roadside house karikamkulam karaparambu easy to access bus 50 metre to bus stop 6km to Kozhikode town,"India,Kerala,Kozhikode,Karaparambu",1766219658,"₹ 8,500",3 Bds - 2 Ba - 60000 ft2,2024-03-31T08:46:52+0000
Single house for rent near govindhapuram mailambadi.,"Single house for rent near govindhapuram mailambadi.rent 11000/- adv 40000/-  family, batchilors, ladies allowed","India,Kerala,Kozhikode,Pottammal",1766218386,"₹ 11,000",2 Bds - 1 Ba - 1200 ft2,2024-03-31T08:35:27+0000
Brand new 2 BHK Flat for rent @ 15000,Located in Malapparamb Housing colonyNear PDDM750 meters from Everything supermarket750 meters from National Highway900 meters from Malapparamb Junction1.4 KM from Iqra HospitalNewly built 2 BHK FlatCharging point for every flat at ground floorReserved Covered Car parking Easily accessibleRoad frontage propertyGood and Peaceful residential area500 Mtr from little kings Anglo Indian kids School500 Mtr to Little dolls play school and Day care center Walkable distance to Bus stopWalkable Distance to auto standOnly one flat left at Third floorOpen TerraceStandard bathroom and electrical fittingsHealthy UV protected white water tankAutomated water tank filling system.3 phase KSEB powerIndividual water connection(applied),"India,Kerala,Kozhikode,Malaparamba Housing Colony",1766218002,"₹ 15,000",2 Bds - 2 Ba - 700 ft2,2024-03-31T08:32:03+0000
Upstair portion for rent near thondayad rent 15000/- adv 50000,"Upstair portion for rent near thondayad rent 15000/- adv 50000/- family, batchilors, ladies allowed.","India,Kerala,Kozhikode,Thondayad",1766217791,"₹ 15,000",2 Bds - 2 Ba - 1000 ft2,2024-03-31T08:30:10+0000
Upstair portion for rent near kottooli.rent 15000/-,"Upstair portion for rent near kottooli.rent 15000/-adv 50000/- family, ladies allowed","India,Kerala,Kozhikode,Koottuli",1766216708,"₹ 15,000",2 Bds - 2 Ba - 1200 ft2,2024-03-31T08:20:47+0000
House for rent near thondayad. Rent 23000/- adv 100000/-,"House for rent near thondayad. Rent 23000/- adv 100000/-. Family,ladies allowed.","India,Kerala,Kozhikode,Thondayad",1766215763,"₹ 23,000",3 Bds - 3 Ba - 1200 ft2,2024-03-31T08:12:53+0000
Single house for rent near pottammal,Single house for rent near pottammal. Batchilors allowed. Rent 15000/-family allowed.Rent 13000/-,"India,Kerala,Kozhikode,Pottammal",1766214789,"₹ 15,000",2 Bds - 2 Ba - 1100 ft2,2024-03-31T08:04:55+0000
3 bedrooms indipendent house karaparamba,3 bedroom attached common bathroom Hall kitchen work area good ground open water well all vehicles acess road frontage just 400 meter bus stop Krishnan Nair road karuvisheri near to c p buildingPlz check our profile more property details,"India,Kerala,Kozhikode,Karaparamba",1766207531,"₹ 15,000",3 Bds - 3 Ba - 1300 ft2,2024-03-31T07:07:44+0000
House for rent,"Near geetha theater, botanical garden road","India,Kerala,Kozhikode,Chanthaparamba",1766201433,"₹ 9,000",2 Bds - 2 Ba - 900 ft2,2024-03-31T06:23:59+0000
2bhk brand new semu furnished flat for rent at landmark world,"2bhk brand new semu furnished flat for rent at landmark world.Ready to move Car parkingLuxury facilities and amenities are available Very near to hilite mall, cyberpark and calicut airport.Looking families, doctors, professionals, business etc","India,Kerala,Kozhikode,Thondayad",1766192624,"₹ 23,000",2 Bds - 2 Ba - 1200 ft2,2024-03-31T05:14:07+0000
4 bhk independent house at vrindavan colony chevayur,4 bhk independent house near vrindavan colony chevayur,"India,Kerala,Kozhikode,Chevayoor",1754151469,"₹ 20,000",4 Bds - 4 Ba - 2200 ft2,2024-03-31T04:49:38+0000
2 bhk traditional house for rent in near Kovoor - Suitable for Office,2 bedroom traditional house for rent in near Kovoor.Suitable for office purposes. Parking space for 4-5 cars.Rent Rs 20000 per month & deposit 4 months rent.Genuine clients can contact for details and site visit.SERVICE CHARGES AS APPLICABLE.,"India,Kerala,Kozhikode,Kovoor",1766186061,"₹ 20,000",2 Bds - 2 Ba - 1000 ft2,2024-03-31T04:12:36+0000
3bed room villa for rent nr Bhavans School Chevayoor,"3bed room villa for rent, 1st floor, Bhavans school 200mtr, ulccs cyber park 600mtr, NH 900mtr","India,Kerala,Kozhikode,Kovoor MLA Road",1766182446,"₹ 14,999",3 Bds - 3 Ba - 1100 ft2,2024-03-31T03:31:05+0000
House for rent @chevayoor,Compound wall well water near by main road,"India,Kerala,Kozhikode,Chevayoor",1766181233,"₹ 15,000",3 Bds - 3 Ba - 1950 ft2,2024-03-31T03:14:25+0000
Tiled house rent near cheavayoor,Tiled house rent near cheavayoor. Batchilors allowed. Batchilors rent 12000/- family allowed. Family rent 10000/-advance 40000/-,"India,Kerala,Kozhikode,Chevayoor",1766172392,"₹ 12,000",3 Bds - 2 Ba - 1000 ft2,2024-03-30T20:53:11+0000
House for rent,"Ground floor portion of a villa for rent from 01/04/2024 for a small family. (for upstair separate stair from outside.) Two bedrooms and two toilets with a kitchen. Near Ayurveda hospital, West hill Chungam. Monthly rent Rs.10,000/- Depost Rs. 50,000/-( slightly negotiable depending the situation ) Please contact 99.95 . 01. 25. 16","India,Kerala,Kozhikode,West Hill Chungam",1766161308,"₹ 10,000",2 Bds - 2 Ba - 1000 ft2,2024-03-30T16:40:59+0000
